LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:00:00;;;.04;.05;490;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:05:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:10:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:15:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:20:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:25:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:30:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:35:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:40:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:45:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:50:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 01:55:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:00:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:05:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:10:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:15:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:20:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:25:00;;;.04;.05;485;;8.7;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:30:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:35:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:40:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:45:00;;;.04;.05;485;;8.65;6.3;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:50:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 02:55:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:00:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:05:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:10:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:15:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:20:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:25:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:30:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:35:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:40:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:45:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:50:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 03:55:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:00:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:05:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:10:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:15:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:20:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:25:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:30:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:35:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:40:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:45:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:50:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 04:55:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:00:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:05:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:10:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:15:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:20:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:25:00;;;.04;.05;485;;8.65;6.6;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:30:00;;;.05;.05;490;;8.6;6.9;;;;;;;;;;;;;;;;;;
05/19/2021 10:20:46;06/08/2021 10:20:46;"Nice";"";"KP33776230443";"3011";"asc";02/01/2019 05:35:00;;;.04;.05;485;;8.6;7.5;;;;;;;;;;;;;;;;;;
