LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:00:00;;;.15;.16;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:05:00;;;.15;.16;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:10:00;;;.15;.16;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:15:00;;;.15;.16;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:20:00;;;.15;.16;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:25:00;;;.15;.16;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:30:00;;;.15;.17;685;;7.95;15.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:35:00;;;.15;.16;690;;8;15.9;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:40:00;;;.15;.16;685;;8;16.2;;;;;;;;;;;;;;;;;;
05/01/2021 08:17:53;05/21/2021 08:17:53;"Nice";"";"KP33776230443";"3011";"asc";11/01/2020 01:45:00;;;.15;.16;685;;8;16.2;;;;;;;;;;;;;;;;;;
