LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:00:00;;;.03;.04;545;;7.95;16.8;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:05:00;;;.03;.04;545;;7.95;16.5;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:10:00;;;.04;.05;545;;7.95;16.2;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:15:00;;;.04;.05;545;;7.95;16.2;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:20:00;;;.04;.04;545;;7.95;16.2;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:25:00;;;.04;.04;545;;7.95;16.2;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:30:00;;;.04;.04;550;;7.95;16.5;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:35:00;;;.04;.04;550;;7.95;17.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:40:00;;;.04;.04;545;;7.95;17.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:45:00;;;.04;.04;545;;7.95;17.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:50:00;;;.04;.04;545;;7.95;17.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 02:55:00;;;.04;.04;550;;7.95;17.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:16:47;05/21/2021 08:16:47;"Nice";"";"KP33776230443";"3011";"asc";10/01/2020 03:00:00;;;.03;.04;545;;7.95;17.4;;;;;;;;;;;;;;;;;;
